Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
126,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KRUCZKOWSKI Michał,2
126,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOPCZYŃSKA Anna,1
126,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,DAJKSLER Urszula,1
126,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NECELMAN Wiesław Piotr,10
126,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NOWAK Maria Jolanta,0
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,NIEDBAŁA Marek Leon,14
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PERLIŃSKI Miron Kazimierz,3
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KAPELA Maria Małgorzata,2
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKI Aleksander Marek,1
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SZÓSTAK Hanna,3
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GRZYBOWSKI Tomasz Jarosław,4
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KOPNIEWSKA Aleksandra Ewa,2
126,KWW JAROSŁAWA PUCKA DOBRO MIASTA,TOMCZAK Michał Bartłomiej,5
126,KWW LEWICA,KANIA Henryk,6
126,KWW LEWICA,LEWANDOWSKI Tomasz Jacek,68
126,KWW LEWICA,GARCZEWSKI Łukasz,2
126,KWW LEWICA,PARZYCH Ewa Barbara,3
126,KWW LEWICA,ANDRZEJEWSKA Ewa,7
126,KWW LEWICA,ABRAMOWICZ Dawid Piotr,1
126,KWW LEWICA,IGNASZAK Magdalena,6
126,KWW LEWICA,ZACZYŃSKI Ryszard Henryk,3
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WIERZBICKI Tomasz,27
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HOPPE Mateusz,2
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WRÓBLEWSKA Karolina,9
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KASPROWICZ Marcin Michał,4
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOPEĆ Mateusz Krzysztof,2
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,CIEŚLEWICZ-GALAS Katarzyna Stanisława,3
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MIĘSIAK Michał Jan,1
126,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ANDRZEJEWSKA Agnieszka Ewa,7
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIŚNIEWSKI Mariusz Michał,280
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,LEWANDOWSKA Agnieszka Danuta,137
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KRÓL Dominika Urszula,38
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JURA Grzegorz Stanisław,30
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIECZOREK-KISTOWSKA Alina Karolina,7
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JACYGRAD Jacek,3
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GUMNY Artur,15
127,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KŁOPOCKI Kamil Jan,25
127,KWW KUKIZ'15,HINC Przemysław Jakub,14
127,KWW KUKIZ'15,KSIĄŻKIEWICZ Jarosław Jan,6
127,KWW KUKIZ'15,KURASZKIEWICZ Joanna Małgorzata,2
127,KWW KUKIZ'15,MATUSZAK Daniel,4
127,KWW KUKIZ'15,POPIELARSKA Dorota,3
127,KWW KUKIZ'15,SPYCHAŁ Jędrzej,0
127,KWW KUKIZ'15,MAZUREK Michał,2
127,KWW KUKIZ'15,BIELAWNA Barbara Ewa,0
