Nr obwodu,Kandydat,Liczba głosów
64,BONK-HAMMERMEISTER Dorota Magdalena,25
64,BRATKOWSKI Wojciech,16
64,HINC Przemysław Jakub,24
64,JAŚKOWIAK Jacek,650
64,LEWANDOWSKI Tomasz Jacek,78
64,PUCEK Jarosław,74
64,ZYSK Tadeusz,210
65,BONK-HAMMERMEISTER Dorota Magdalena,19
65,BRATKOWSKI Wojciech,12
65,HINC Przemysław Jakub,12
65,JAŚKOWIAK Jacek,303
65,LEWANDOWSKI Tomasz Jacek,56
65,PUCEK Jarosław,48
65,ZYSK Tadeusz,162
66,BONK-HAMMERMEISTER Dorota Magdalena,26
66,BRATKOWSKI Wojciech,7
66,HINC Przemysław Jakub,31
66,JAŚKOWIAK Jacek,529
66,LEWANDOWSKI Tomasz Jacek,68
66,PUCEK Jarosław,59
66,ZYSK Tadeusz,206
67,BONK-HAMMERMEISTER Dorota Magdalena,20
67,BRATKOWSKI Wojciech,10
67,HINC Przemysław Jakub,21
67,JAŚKOWIAK Jacek,527
67,LEWANDOWSKI Tomasz Jacek,58
67,PUCEK Jarosław,47
67,ZYSK Tadeusz,204
68,BONK-HAMMERMEISTER Dorota Magdalena,32
68,BRATKOWSKI Wojciech,23
68,HINC Przemysław Jakub,32
68,JAŚKOWIAK Jacek,655
68,LEWANDOWSKI Tomasz Jacek,100
68,PUCEK Jarosław,94
68,ZYSK Tadeusz,234
69,BONK-HAMMERMEISTER Dorota Magdalena,31
69,BRATKOWSKI Wojciech,12
69,HINC Przemysław Jakub,36
69,JAŚKOWIAK Jacek,864
69,LEWANDOWSKI Tomasz Jacek,72
69,PUCEK Jarosław,77
69,ZYSK Tadeusz,264
70,BONK-HAMMERMEISTER Dorota Magdalena,43
70,BRATKOWSKI Wojciech,24
70,HINC Przemysław Jakub,48
70,JAŚKOWIAK Jacek,913
70,LEWANDOWSKI Tomasz Jacek,137
70,PUCEK Jarosław,103
70,ZYSK Tadeusz,212
71,BONK-HAMMERMEISTER Dorota Magdalena,42
71,BRATKOWSKI Wojciech,18
