Nr okręgu,Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
1,5,KWW KUKIZ'15,TAMUĆ Wojciech,16
1,5,KWW KUKIZ'15,BEDNARZ Artur Wojciech,4
1,5,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,6
1,5,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,1
1,5,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,1
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,SULANOWSKI Jan Henryk,68
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Lidia Danuta,55
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,RAJEWICZ-SZYBA Iwona,2
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,GORZELAŃCZYK Stanisław Bogdan,2
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,PRZYBYŁA Adrian,1
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,NIEMCZEWSKA Agnieszka,3
1,5,KW PRAWO I SPRAWIEDLIWOŚĆ,ROLEWSKI Jarosław Jan,7
1,5,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOWALCZYK Mirosław Zbigniew,2
1,5,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KULECZKA Agnieszka Marzena,7
1,5,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKI Piotr Zbigniew,1
1,5,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Elżbieta Anna,0
1,5,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKA Magdalena,1
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŚKOWIAK Wojciech Tadeusz,18
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KACZMAREK Bartosz Piotr,2
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŹNIAK Mariusz Roman,6
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,BABICZ Adam Franciszek,12
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RÓŻYCKA Aleksandra,5
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JAKUBOWSKA Hanna Maria,4
1,5,KWW JAROSŁAWA PUCKA DOBRO MIASTA,CHODOROWSKA Anna Barbara,6
1,5,KWW LEWICA,KRETKOWSKA Katarzyna Maria,82
1,5,KWW LEWICA,SZLINDER Maciej Karol,11
1,5,KWW LEWICA,ŁAZARZ Maria,1
1,5,KWW LEWICA,KRZYWOSZ Marian,5
1,5,KWW LEWICA,CZUBAŁA Małgorzata Maria,2
1,5,KWW LEWICA,MAJEWSKI Dawid,2
1,5,KWW LEWICA,ROHDE Wojciech Marian,3
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BONK-HAMMERMEISTER Dorota Magdalena,133
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KLUK Arkadiusz,23
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOŁTYSIAK-ŁUCZAK Aleksandra Marta,3
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,JANOWSKI Andrzej Piotr,2
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ŁODZIAK Dorota,3
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SCHMIDT Filip Maria,2
1,5,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,GARCZARCZYK Magdalena Anna,6
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,106
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,92
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,24
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,14
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,14
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,31
1,6,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,12
1,6,KWW KUKIZ'15,TAMUĆ Wojciech,7
1,6,KWW KUKIZ'15,BEDNARZ Artur Wojciech,5
1,6,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,2
1,6,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,3
1,6,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,1
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,SULANOWSKI Jan Henryk,97
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Lidia Danuta,57
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,RAJEWICZ-SZYBA Iwona,3
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,GORZELAŃCZYK Stanisław Bogdan,1
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,PRZYBYŁA Adrian,1
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,NIEMCZEWSKA Agnieszka,3
1,6,KW PRAWO I SPRAWIEDLIWOŚĆ,ROLEWSKI Jarosław Jan,8
