Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
1,35,BRATKOWSKI Wojciech,13
1,35,HINC Przemysław Jakub,19
1,35,JAŚKOWIAK Jacek,406
1,35,LEWANDOWSKI Tomasz Jacek,81
1,35,PUCEK Jarosław,55
1,35,ZYSK Tadeusz,173
1,36,BONK-HAMMERMEISTER Dorota Magdalena,46
1,36,BRATKOWSKI Wojciech,17
1,36,HINC Przemysław Jakub,26
1,36,JAŚKOWIAK Jacek,653
1,36,LEWANDOWSKI Tomasz Jacek,70
1,36,PUCEK Jarosław,80
1,36,ZYSK Tadeusz,165
1,37,BONK-HAMMERMEISTER Dorota Magdalena,14
1,37,BRATKOWSKI Wojciech,10
1,37,HINC Przemysław Jakub,7
1,37,JAŚKOWIAK Jacek,311
1,37,LEWANDOWSKI Tomasz Jacek,37
1,37,PUCEK Jarosław,47
1,37,ZYSK Tadeusz,115
1,38,BONK-HAMMERMEISTER Dorota Magdalena,29
1,38,BRATKOWSKI Wojciech,18
1,38,HINC Przemysław Jakub,13
1,38,JAŚKOWIAK Jacek,330
1,38,LEWANDOWSKI Tomasz Jacek,54
1,38,PUCEK Jarosław,20
1,38,ZYSK Tadeusz,86
1,39,BONK-HAMMERMEISTER Dorota Magdalena,67
1,39,BRATKOWSKI Wojciech,23
1,39,HINC Przemysław Jakub,19
1,39,JAŚKOWIAK Jacek,781
1,39,LEWANDOWSKI Tomasz Jacek,92
1,39,PUCEK Jarosław,60
1,39,ZYSK Tadeusz,293
2,40,BONK-HAMMERMEISTER Dorota Magdalena,41
2,40,BRATKOWSKI Wojciech,16
2,40,HINC Przemysław Jakub,26
2,40,JAŚKOWIAK Jacek,817
2,40,LEWANDOWSKI Tomasz Jacek,99
2,40,PUCEK Jarosław,61
2,40,ZYSK Tadeusz,173
2,41,BONK-HAMMERMEISTER Dorota Magdalena,18
2,41,BRATKOWSKI Wojciech,12
2,41,HINC Przemysław Jakub,18
2,41,JAŚKOWIAK Jacek,410
2,41,LEWANDOWSKI Tomasz Jacek,38
2,41,PUCEK Jarosław,47
2,41,ZYSK Tadeusz,164
2,42,BONK-HAMMERMEISTER Dorota Magdalena,26
2,42,BRATKOWSKI Wojciech,14
2,42,HINC Przemysław Jakub,8
2,42,JAŚKOWIAK Jacek,439
2,42,LEWANDOWSKI Tomasz Jacek,30
2,42,PUCEK Jarosław,51
2,42,ZYSK Tadeusz,142
2,43,BONK-HAMMERMEISTER Dorota Magdalena,25
2,43,BRATKOWSKI Wojciech,14
2,43,HINC Przemysław Jakub,23
2,43,JAŚKOWIAK Jacek,560
2,43,LEWANDOWSKI Tomasz Jacek,74
2,43,PUCEK Jarosław,79
2,43,ZYSK Tadeusz,193
2,44,BONK-HAMMERMEISTER Dorota Magdalena,40
2,44,BRATKOWSKI Wojciech,37
2,44,HINC Przemysław Jakub,24
2,44,JAŚKOWIAK Jacek,584
2,44,LEWANDOWSKI Tomasz Jacek,70
2,44,PUCEK Jarosław,89
2,44,ZYSK Tadeusz,203
2,45,BONK-HAMMERMEISTER Dorota Magdalena,23
2,45,BRATKOWSKI Wojciech,23
2,45,HINC Przemysław Jakub,16
2,45,JAŚKOWIAK Jacek,549
2,45,LEWANDOWSKI Tomasz Jacek,106
2,45,PUCEK Jarosław,85
2,45,ZYSK Tadeusz,283
2,46,BONK-HAMMERMEISTER Dorota Magdalena,39
2,46,BRATKOWSKI Wojciech,33
